name,brand,price,store,imgLink,productLink,storeImgLink
"dell inspiron 3511 i5 11th gen / 8gb ram / 512gb ssd / 15.6"" fhd display",dell,80000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/d/e/dell-inspiron-3511-price-nepal-i5-1135g7-processor.jpg,https://itti.com.np/dell-inspiron-3511-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell vostro 3510 i5 11th gen / 8gb ram / 256gb hdd / 15.6"" fhd display",dell,82000,itti,https://itti.com.np/pub/media/catalog/product/cache/d73a5018306142840707bd616a4ef293/v/o/vostro_3510_1_1_1.jpeg,https://itti.com.np/dell-vostro-3510-i5-price-nepal-ssd,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 3505 ryzen 7 3700u / 8gb ram / 512gb ssd / vega 8/ 15.6"" fhd display",dell,82000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-inspiron-3505-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 3511 i5 11th gen / nvidia mx350 graphics / 8gb ram / 512gb ssd / 15.6"" fhd display",dell,89000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-inspirion-3511-graphic-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell vostro 3400 i5 11th gen / 8gb ram / 256gb ssd / nvidia mx330 / 14"" fhd display",dell,91000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-vostro-3400-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 5415 ryzen 5 5500u / 8gb ram / 256gb ssd / vega 8 / 14"" fhd display",dell,95000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-inspiron-5415-price-nepal-ryzen-5,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 5515 ryzen 5 5500u / 8gb ram / 256gb ssd / vega 8 / 15.6"" fhd display",dell,95000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-inspiron-5515-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell inspiron 14 2022 5425 ryzen 5 5625u / 8gb ram / 512gb ssd / vega 8 / 14"" fhd display",dell,105000,itti,https://itti.com.np/pub/media/lazyloading/blank.png,https://itti.com.np/dell-inspiron-14-2022-price-nepal,https://itti.com.np/lenovo-legion-5-ryzen-5-price-nepal
"dell lnspiron 15 3511 i7-1165g7-8gb-512gb-15.6""-fhd nvidia mx3502gb gddr5-ws11-silver (backpack)",dell,118000,sastodeal,https://static.sastodeal.com//media/seller/271739/d/e/dell_inspiron_3511_i7_1165g7_-8gb_ram-512gb_ssd-15.jpg,https://www.sastodeal.com/dell-lnspiron-15-3511-i7-1165g7-8gb-512gb-15-6-fhd-nvidia-mx3502gb-gddr5-ws-dtn-3511-i7-1165.html,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/6267e600-c16f-4a47-8be1-c2e511ae0498.png
dell g5-15 5515 | amd ryzen r7-5800h | 8gb | 512ssd | nvidia rtx 3050 4gb gddr6 | fhd | office 2019,dell,160000,sastodeal,https://static.sastodeal.com//media/seller/271739/d/e/dell-g5-15-5515--amd-ryzen-7-back1_1.jpg,https://www.sastodeal.com/dell-g5-15-5515-amd-ryzen-r7-5800h-8gb-512ssd-nvidia-rtx-3050-4gb-gddr6-fhd-g5-15-5515-1.html,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/modified/6267e600-c16f-4a47-8be1-c2e511ae0498.png
